,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
178,-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,<1H OCEAN
179,-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,INLAND
180,-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,NEAR OCEAN
181,-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,INLAND
182,-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,NEAR BAY
183,-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,INLAND
184,-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,<1H OCEAN
185,-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,INLAND
186,-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,INLAND
187,-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,INLAND
188,-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,INLAND
189,-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,<1H OCEAN
190,-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,<1H OCEAN
191,-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,<1H OCEAN
192,-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,INLAND
193,-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,INLAND
194,-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,<1H OCEAN
195,-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,<1H OCEAN
196,-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,<1H OCEAN
197,-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,<1H OCEAN
198,-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,INLAND
199,-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,INLAND
200,-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,<1H OCEAN
201,-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,INLAND
202,-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,INLAND
203,-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,INLAND
204,-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,INLAND
205,-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,INLAND
206,-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,<1H OCEAN
207,-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,INLAND
208,-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,<1H OCEAN
209,-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,<1H OCEAN
210,-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,<1H OCEAN
211,-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,<1H OCEAN
212,-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,<1H OCEAN
213,-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,<1H OCEAN
214,-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,NEAR OCEAN
215,-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,INLAND
216,-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,INLAND
217,-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,NEAR OCEAN
218,-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,<1H OCEAN
219,-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,INLAND
220,-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,<1H OCEAN
221,-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,<1H OCEAN
222,-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,INLAND
223,-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,<1H OCEAN
224,-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,<1H OCEAN
225,-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,<1H OCEAN
226,-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,<1H OCEAN
227,-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,<1H OCEAN
228,-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,NEAR OCEAN
229,-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,NEAR OCEAN
230,-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,NEAR BAY
231,-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,<1H OCEAN
232,-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,INLAND
233,-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,INLAND
234,-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,<1H OCEAN
235,-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,NEAR OCEAN
236,-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,<1H OCEAN
237,-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,<1H OCEAN
238,-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,<1H OCEAN
239,-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,<1H OCEAN
240,-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,NEAR BAY
241,-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,INLAND
242,-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,<1H OCEAN
243,-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,<1H OCEAN
244,-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,<1H OCEAN
245,-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,<1H OCEAN
246,-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,NEAR BAY
247,-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,NEAR BAY
248,-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,INLAND
249,-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,<1H OCEAN
250,-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,<1H OCEAN
251,-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,INLAND
252,-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,NEAR OCEAN
253,-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,<1H OCEAN
254,-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,NEAR BAY
255,-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,<1H OCEAN
256,-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,<1H OCEAN
257,-122.11,37.66,29.0,2544.0,643.0,2332.0,603.0,3.2091,NEAR BAY
258,-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,<1H OCEAN
259,-122.03,37.39,34.0,2600.0,650.0,1994.0,650.0,4.0223,<1H OCEAN
260,-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,<1H OCEAN
261,-117.13,32.72,9.0,2436.0,720.0,1780.0,653.0,1.8299,NEAR OCEAN
262,-121.66,36.82,17.0,3921.0,654.0,1895.0,641.0,5.0092,<1H OCEAN
263,-118.13,34.05,35.0,3229.0,616.0,1879.0,595.0,3.9531,<1H OCEAN
264,-118.28,34.05,41.0,1788.0,774.0,2931.0,702.0,1.4413,<1H OCEAN
265,-118.17,34.1,25.0,4444.0,647.0,1922.0,652.0,8.058,<1H OCEAN
266,-121.33,37.97,36.0,1953.0,492.0,999.0,371.0,2.0043,INLAND
267,-117.23,32.74,16.0,1953.0,404.0,798.0,385.0,4.8167,NEAR OCEAN
268,-121.29,38.6,29.0,1276.0,225.0,600.0,223.0,4.0938,INLAND
269,-117.95,34.04,36.0,1044.0,200.0,982.0,205.0,4.7679,<1H OCEAN
270,-121.83,36.61,26.0,3723.0,789.0,2563.0,747.0,3.4531,<1H OCEAN
271,-119.21,34.26,26.0,2406.0,411.0,1313.0,391.0,4.9079,NEAR OCEAN
272,-118.29,33.91,28.0,1501.0,446.0,1028.0,418.0,2.3043,<1H OCEAN
273,-118.74,34.26,27.0,3467.0,545.0,1798.0,493.0,4.8717,<1H OCEAN
274,-118.2,33.96,44.0,2144.0,477.0,1760.0,452.0,2.3221,<1H OCEAN
275,-117.93,33.65,29.0,1253.0,375.0,1198.0,362.0,3.5179,<1H OCEAN
276,-124.09,40.88,31.0,1982.0,495.0,1052.0,467.0,1.5326,NEAR OCEAN
277,-121.39,38.56,19.0,8507.0,1470.0,3517.0,1453.0,4.3644,INLAND
278,-117.33,34.13,30.0,2335.0,363.0,1214.0,311.0,2.2449,INLAND
279,-118.75,34.33,27.0,534.0,85.0,243.0,77.0,8.2787,<1H OCEAN
280,-118.1,33.93,36.0,1124.0,217.0,707.0,234.0,4.375,<1H OCEAN
281,-118.49,34.25,33.0,2088.0,383.0,960.0,362.0,4.3333,<1H OCEAN
282,-117.69,34.06,29.0,873.0,226.0,649.0,198.0,2.7986,INLAND
283,-117.06,32.57,18.0,1384.0,311.0,1429.0,287.0,1.3362,NEAR OCEAN
284,-118.46,34.29,24.0,3668.0,890.0,3151.0,810.0,3.0526,<1H OCEAN
285,-121.74,38.55,33.0,6861.0,1820.0,3717.0,1767.0,1.7311,INLAND
286,-116.89,33.73,15.0,2094.0,316.0,937.0,277.0,5.3623,INLAND
287,-121.89,37.25,26.0,1741.0,323.0,1007.0,339.0,4.7069,<1H OCEAN
288,-122.15,37.72,31.0,1616.0,372.0,739.0,379.0,2.9097,NEAR BAY
289,-119.29,34.26,32.0,3295.0,764.0,1344.0,600.0,3.6007,NEAR OCEAN
290,-118.19,33.89,38.0,4018.0,986.0,3702.0,927.0,2.9293,<1H OCEAN
291,-117.66,34.06,24.0,4043.0,952.0,2174.0,859.0,2.2244,INLAND
292,-118.06,33.8,20.0,1379.0,333.0,937.0,304.0,3.6217,<1H OCEAN
293,-118.0,33.95,35.0,1431.0,210.0,505.0,213.0,6.8109,<1H OCEAN
294,-117.95,33.84,18.0,3418.0,815.0,1961.0,773.0,3.65,<1H OCEAN
295,-117.88,33.9,21.0,3180.0,434.0,1413.0,391.0,6.5945,<1H OCEAN
296,-118.12,34.11,48.0,2124.0,319.0,785.0,319.0,5.2131,<1H OCEAN
297,-120.99,37.69,25.0,2773.0,384.0,1060.0,381.0,6.4788,INLAND
298,-118.37,33.91,41.0,1869.0,427.0,1334.0,435.0,3.9355,<1H OCEAN
299,-121.74,36.47,28.0,1973.0,343.0,970.0,349.0,4.25,<1H OCEAN
300,-122.19,37.48,35.0,7067.0,1646.0,5380.0,1597.0,4.1776,NEAR BAY
301,-116.95,32.78,20.0,3425.0,448.0,1489.0,443.0,6.2552,<1H OCEAN
302,-117.8,33.76,27.0,2655.0,345.0,1017.0,335.0,6.9014,<1H OCEAN
303,-115.54,32.79,23.0,1712.0,403.0,1370.0,377.0,1.275,INLAND
304,-118.43,34.17,35.0,2922.0,507.0,1130.0,485.0,5.451,<1H OCEAN
305,-120.69,35.49,16.0,2666.0,450.0,1203.0,429.0,4.1375,<1H OCEAN
306,-118.32,33.94,37.0,2740.0,504.0,1468.0,479.0,4.5368,<1H OCEAN
